Quantity,UnitPrice,ItemsInCart,TotalPrice,OrderMonth,OrderDayOfWeek,OrderYear,Product_Desk,Product_Laptop,Product_Monitor,Product_Phone,Product_Printer,Product_Tablet,PaymentMethod_Credit Card,PaymentMethod_Debit Card,PaymentMethod_Gift Card,PaymentMethod_Online,OrderStatus_Delivered,OrderStatus_Pending,OrderStatus_Returned,OrderStatus_Shipped,ReferralSource_Facebook,ReferralSource_Google,ReferralSource_Instagram,ReferralSource_Referral,CouponCode_NoCoupon,CouponCode_SAVE10,CouponCode_WINTER15,RevenuePerItem,CartConversionRatio,IsHighValueOrder,IsWeekendOrder
3,423.53,6,1270.59,9,4,2024,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,423.53,0.5,1,0
2,426.7,5,853.4,3,5,2025,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,426.7,0.4,1,1
3,500.08,6,1500.24,6,4,2023,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,500.08,0.5,1,0
5,536.72,10,2683.6,5,0,2023,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,536.72,0.5,1,0
1,162.77,4,162.77,6,0,2023,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,162.77,0.25,0,0
4,576.52,5,2306.08,1,5,2023,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,576.52,0.8,1,1
2,465.15,2,930.3,12,5,2024,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,465.15,1,1,1
2,534.43,5,1068.86,5,3,2025,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,534.43,0.4,1,0
2,76.74,7,153.48,10,0,2024,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,76.74,0.2857142857142857,0,0
1,245.89,3,245.89,12,3,2024,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,245.89,0.3333333333333333,0,0
3,256.46,4,769.3799999999999,2,3,2025,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,256.46,0.75,0,0
2,344.02,4,688.04,8,6,2023,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,344.02,0.5,0,1
3,611.45,4,1834.35,12,1,2023,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,611.4499999999999,0.75,1,0
2,151.66,6,303.32,5,0,2024,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,151.66,0.3333333333333333,0,0
3,499.21,8,1497.63,12,3,2023,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,499.21000000000004,0.375,1,0
2,550.18,3,1100.36,4,0,2025,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,550.18,0.6666666666666666,1,0
1,317.25,1,317.25,2,5,2024,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,317.25,1,0,1
4,550.14,4,2200.56,6,2,2024,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,550.14,1,1,0
2,209.94,3,419.88,7,2,2023,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,209.94,0.6666666666666666,0,0
2,80.77,4,161.54,8,5,2023,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,80.77,0.5,0,1
1,30.44,1,30.44,10,5,2023,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,30.44,1,0,1
1,179.22,6,179.22,7,0,2023,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,179.22,0.16666666666666666,0,0
1,388.33,2,388.33,12,0,2024,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,388.33,0.5,0,0
1,586.44,5,586.44,9,6,2024,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,586.44,0.2,0,1
4,488.78,5,1955.12,5,5,2024,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,488.78,0.8,1,1
1,280.25,5,280.25,3,3,2025,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,280.25,0.2,0,0
3,344.4,3,1033.2,6,1,2025,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,344.40000000000003,1,1,0
3,479.21,5,1437.63,5,6,2023,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,479.21000000000004,0.6,1,1
5,314.27,6,1571.35,1,6,2023,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,314.27,0.8333333333333334,1,1
4,474.69,6,1898.76,1,6,2023,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,474.69,0.6666666666666666,1,1
4,593.27,5,2373.08,9,2,2024,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,593.27,0.8,1,0
1,417.1,3,417.1,8,2,2024,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,417.1,0.3333333333333333,0,0
4,122.2,7,488.8,3,6,2024,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,122.2,0.5714285714285714,0,1
2,43.15,3,86.3,8,1,2023,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,43.15,0.6666666666666666,0,0
1,564.86,6,564.86,2,6,2025,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,564.86,0.16666666666666666,0,1
3,130.61,4,391.83,6,2,2025,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,130.60999999999999,0.75,0,0
5,81.7,6,408.5,12,5,2023,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,81.7,0.8333333333333334,0,1
5,127.18,9,635.9000000000001,11,4,2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,127.18000000000002,0.5555555555555556,0,0
4,12.1,8,48.4,12,0,2024,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,12.1,0.5,0,0
3,490.92,5,1472.76,12,0,2023,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,490.92,0.6,1,0
3,478.65,4,1435.95,5,3,2023,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,478.65000000000003,0.75,1,0
1,629.21,2,629.21,5,4,2023,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,629.21,0.5,0,0
3,434.45,4,1303.35,6,1,2025,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,434.45,0.75,1,0
4,589.44,5,2357.76,12,6,2024,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,589.44,0.8,1,1
4,433.45,4,1733.8,5,2,2023,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,433.45,1,1,0
5,90.87,5,454.35,6,5,2023,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,90.87,1,0,1
3,398.17,5,1194.51,9,1,2023,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,398.17,0.6,1,0
4,382.88,6,1531.52,3,6,2024,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,382.88,0.6666666666666666,1,1
1,583.18,5,583.18,5,4,2024,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,583.18,0.2,0,0
4,175.36,4,701.44,8,1,2024,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,175.36,1,0,0
2,311.91,2,623.82,3,0,2025,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,311.91,1,0,0
3,589.56,6,1768.68,6,1,2023,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,589.5600000000001,0.5,1,0
2,394.3,6,788.6,6,3,2023,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,394.3,0.3333333333333333,0,0
4,565.2,9,2260.8,1,4,2024,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,565.2,0.4444444444444444,1,0
4,540.41,6,2161.64,8,1,2023,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,540.41,0.6666666666666666,1,0
2,165.49,4,330.98,8,0,2023,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,165.49,0.5,0,0
3,146.73,8,440.1899999999999,9,0,2024,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,146.72999999999996,0.375,0,0
5,643.03,5,3215.15,6,2,2024,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,643.03,1,1,0
3,225.11,4,675.33,10,3,2024,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,225.11,0.75,0,0
3,114.81,7,344.43,6,3,2025,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,114.81,0.42857142857142855,0,0
5,455.33,8,2276.65,2,1,2025,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,455.33000000000004,0.625,1,0
4,182.08,4,728.32,9,0,2023,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,182.08,1,0,0
5,492.75,6,2463.75,3,2,2023,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,492.75,0.8333333333333334,1,0
4,48.61,7,194.44,6,0,2024,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,48.61,0.5714285714285714,0,0
4,431.01,7,1724.04,1,5,2023,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,431.01,0.5714285714285714,1,1
1,531.18,6,531.18,2,5,2023,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,531.18,0.16666666666666666,0,1
4,117.51,7,470.04,3,4,2023,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,117.51,0.5714285714285714,0,0
2,232.83,7,465.66,6,5,2024,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,232.83,0.2857142857142857,0,1
5,619.52,9,3097.6,1,1,2025,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,619.52,0.5555555555555556,1,0
2,228.54,3,457.08,1,5,2023,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,228.54,0.6666666666666666,0,1
1,201.58,2,201.58,4,5,2025,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,201.58,0.5,0,1
3,664.79,6,1994.37,2,4,2023,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,664.79,0.5,1,0
1,381.02,6,381.02,11,5,2023,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,381.02,0.16666666666666666,0,1
2,70.34,3,140.68,3,2,2023,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,70.34,0.6666666666666666,0,0
4,218.43,9,873.72,1,5,2025,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,218.43,0.4444444444444444,1,1
1,582.04,1,582.04,7,1,2024,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,582.04,1,0,0
3,185.4,7,556.2,10,3,2024,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,185.4,0.42857142857142855,0,0
3,465.05,3,1395.15,9,4,2023,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,465.05,1,1,0
5,670.75,8,3330.4075,3,0,2023,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,666.0815,0.625,1,0
5,48.38,9,241.9,12,5,2024,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,48.38,0.5555555555555556,0,1
3,592.87,3,1778.61,9,6,2023,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,592.87,1,1,1
1,220.77,5,220.77,4,6,2024,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,220.77,0.2,0,1
3,309.22,7,927.6600000000001,5,2,2025,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,309.22,0.42857142857142855,1,0
1,410.6,2,410.6,1,6,2023,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,410.6,0.5,0,1
5,190.08,9,950.4000000000001,1,2,2024,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,190.08,0.5555555555555556,1,0
5,498.48,8,2492.4,1,0,2025,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,498.48,0.625,1,0
5,374.99,9,1874.95,11,0,2023,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,374.99,0.5555555555555556,1,0
4,291.35,6,1165.4,3,6,2023,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,291.35,0.6666666666666666,1,1
1,535.5,5,535.5,3,2,2023,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,535.5,0.2,0,0
5,502.71,7,2513.55,10,0,2023,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,502.71000000000004,0.7142857142857143,1,0
2,534.67,7,1069.34,6,2,2025,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,534.67,0.2857142857142857,1,0
4,629.34,4,2517.36,4,1,2023,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,629.34,1,1,0
1,410.78,1,410.78,11,3,2023,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,410.78,1,0,0
2,533.02,2,1066.04,4,0,2024,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,533.02,1,1,0
3,278.04,5,834.1200000000001,7,3,2023,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,278.04,0.6,1,0
4,283.79,8,1135.16,7,6,2024,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,283.79,0.5,1,1
2,512.65,5,1025.3,11,2,2024,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,512.65,0.4,1,0
4,275.5,8,1102,5,5,2025,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,275.5,0.5,1,1
3,469.32,3,1407.96,8,3,2023,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,469.32,1,1,0
4,21.07,4,84.28,2,4,2023,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,21.07,1,0,0
4,263.93,4,1055.72,10,4,2023,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,263.93,1,1,0
3,501.3,3,1503.9,1,2,2025,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,501.3,1,1,0
1,84.8,5,84.8,1,6,2023,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,84.8,0.2,0,1
4,450.75,6,1803,3,1,2023,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,450.75,0.6666666666666666,1,0
4,302.05,6,1208.2,6,4,2025,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,302.05,0.6666666666666666,1,0
2,199.7,4,399.4,6,0,2025,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,199.7,0.5,0,0
2,68.81,5,137.62,8,4,2023,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,68.81,0.4,0,0
1,44.35,1,44.35,4,5,2024,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,44.35,1,0,1
2,250.98,5,501.96,11,1,2024,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,250.98,0.4,0,0
1,298.06,3,298.06,12,3,2023,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,298.06,0.3333333333333333,0,0
1,583.9,1,583.9,4,0,2023,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,583.9,1,0,0
3,528.14,3,1584.42,5,5,2025,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,528.14,1,1,1
3,684.14,3,2052.42,11,5,2023,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,684.14,1,1,1
5,272.77,7,1363.85,9,2,2023,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,272.77,0.7142857142857143,1,0
4,400.07,5,1600.28,6,3,2024,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,400.07,0.8,1,0
5,219.78,8,1098.9,8,4,2023,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,219.78000000000003,0.625,1,0
3,146.91,6,440.73,3,5,2024,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,146.91,0.5,0,1
2,411.49,4,822.98,4,2,2025,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,411.49,0.5,0,0
2,465.18,2,930.36,5,1,2025,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,465.18,1,1,0
2,319.91,3,639.82,12,6,2024,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,319.91,0.6666666666666666,0,1
1,217.56,3,217.56,12,2,2023,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,217.56,0.3333333333333333,0,0
2,105.57,5,211.14,12,2,2023,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,105.57,0.4,0,0
5,444.76,7,2223.8,12,4,2023,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,444.76000000000005,0.7142857142857143,1,0
2,399.04,3,798.08,1,3,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,399.04,0.6666666666666666,0,0
4,534.48,9,2137.92,12,2,2024,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,534.48,0.4444444444444444,1,0
4,408.21,9,1632.84,7,3,2023,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,408.21,0.4444444444444444,1,0
1,424.4,6,424.4,2,0,2023,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,424.4,0.16666666666666666,0,0
2,269.83,4,539.66,11,4,2024,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,269.83,0.5,0,0
2,564.58,4,1129.16,2,4,2025,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,564.58,0.5,1,0
1,331.06,5,331.06,5,3,2024,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,331.06,0.2,0,0
1,299.35,5,299.35,10,1,2023,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,299.35,0.2,0,0
4,101.32,7,405.28,2,4,2023,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,101.32,0.5714285714285714,0,0
1,211.14,1,211.14,3,4,2024,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,211.14,1,0,0
3,65.86,8,197.58,7,3,2023,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,65.86,0.375,0,0
1,641.39,1,641.39,6,1,2025,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,641.39,1,0,0
5,536.58,5,2682.9,12,3,2023,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,536.58,1,1,0
2,500.29,7,1000.58,9,5,2024,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,500.29,0.2857142857142857,1,1
3,86.29,6,258.87,3,1,2025,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,86.29,0.5,0,0
2,384.14,2,768.28,5,5,2023,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,384.14,1,0,1
1,594.96,6,594.96,1,5,2025,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,594.96,0.16666666666666666,0,1
1,427.82,2,427.82,4,6,2024,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,427.82,0.5,0,1
4,662.94,8,2651.76,4,4,2025,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,662.94,0.5,1,0
2,148.22,7,296.44,8,1,2023,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,148.22,0.2857142857142857,0,0
1,254.12,1,254.12,4,6,2025,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,254.12,1,0,1
3,664.46,4,1993.38,3,6,2024,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,664.46,0.75,1,1
4,600.81,9,2403.24,4,1,2024,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,600.81,0.4444444444444444,1,0
5,68.34,6,341.7,2,5,2025,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,68.34,0.8333333333333334,0,1
